date,temperature_2m_min,temperature_2m_max,temperature_2m_mean,windspeed_10m_max,windgusts_10m_max,shortwave_radiation_sum,precipitation_sum,WeatherSimple
2022-01-01,15.640749,25.599545,20.022245,17.554499999999976,35.764,18.070400000000028,1.5645000000000007,0
2022-01-02,15.640749,25.599545,20.022245,17.75049999999998,36.406000000000006,18.216450000000023,1.5645000000000007,0
2022-01-03,17.720184,26.057251,21.062977,18.951000000000025,36.86800000000003,15.250999999999994,2.7265000000000015,1
2022-01-04,18.148272,25.37256,20.970833,18.94650000000002,37.310500000000005,13.16885000000001,1.9984999999999982,1
2022-01-05,18.148272,25.37256,20.970833,18.81950000000002,36.91399999999999,13.16885000000001,1.9924999999999984,0
2022-01-06,18.809649,25.384212,20.983002,16.750999999999998,32.89799999999996,11.904999999999996,11.843999999999987,2
2022-01-07,18.74991,25.412676,21.174389,16.893500000000007,32.83699999999994,12.540549999999987,3.890999999999995,0
2022-01-08,18.74991,25.412676,21.174389,16.260500000000008,31.668999999999947,12.60649999999999,3.8899999999999952,2
2022-01-09,18.361801,25.538357,21.163473,17.745000000000015,34.49549999999995,13.346500000000008,3.6389999999999993,0
2022-01-10,17.910963,25.538357,21.125769,18.07850000000001,34.67549999999991,13.505300000000018,2.773,0
2022-01-11,17.58863,25.525219,20.919922,18.828000000000007,36.81449999999991,14.583649999999993,4.3005,0
2022-01-12,17.58863,25.525219,20.919922,18.933000000000003,36.843999999999916,14.625899999999994,4.301000000000001,0
2022-01-13,16.864904,26.61037,20.90439,19.94049999999997,38.99799999999994,18.191650000000003,0.27200000000000013,0
2022-01-14,16.592106,26.61037,20.755249,19.980999999999966,38.73049999999998,18.93625000000004,0.10850000000000003,0
2022-01-15,16.592106,26.61037,20.755249,19.69949999999997,38.153499999999966,18.954800000000034,0.08049999999999997,0
2022-01-16,16.588686,26.734737,20.883394,17.607,33.78249999999992,18.773900000000005,0.48550000000000004,0
2022-01-17,15.636514,26.76496,20.579332,17.081000000000003,33.07749999999997,19.1297,0.04049999999999999,0
2022-01-18,15.636514,26.76496,20.579332,17.040500000000005,33.055499999999974,19.179649999999995,0.03749999999999999,0
2022-01-19,15.636514,26.76496,20.579332,16.4825,32.43649999999998,19.196749999999998,0.03749999999999999,0
2022-01-20,15.795318,27.735336,21.041904,15.568000000000008,28.53200000000001,21.67465000000002,0.003,0
2022-01-21,17.06822,27.76075,21.795603,14.992000000000003,28.751500000000014,20.535150000000016,0.0375,0
2022-01-22,17.06822,27.76075,21.795603,15.322000000000003,29.789000000000023,20.607650000000017,0.037,0
2022-01-23,17.263197,27.731977,21.525154,16.032499999999995,30.708000000000013,21.16840000000003,0.15149999999999997,0
2022-01-24,15.908875,27.700998,20.993227,15.743999999999987,28.771999999999984,22.160600000000034,0.0,0
2022-01-25,15.908875,27.700998,20.993227,15.53499999999999,28.679999999999986,22.050250000000027,0.0,0
2022-01-26,15.198066,27.65648,20.843426,15.756000000000002,29.838500000000025,22.345399999999998,0.0,0
2022-01-27,15.6283045,27.632315,20.904438,15.775000000000013,29.638999999999978,22.01490000000003,0.003,0
2022-01-28,15.6283045,27.632315,20.904438,16.30050000000001,30.054499999999972,22.04760000000003,0.003,0
2022-01-29,16.182865,27.813883,21.39966,16.74350000000001,32.32699999999999,21.811650000000032,0.008,0
2022-01-30,16.207237,27.813883,21.44466,16.813000000000013,33.197,21.657000000000018,0.018999999999999996,0
2022-01-31,15.878263,27.844942,21.449629,16.957500000000003,33.39450000000003,22.610849999999964,0.0155,0
2022-02-01,15.878263,27.844942,21.449629,17.1105,33.839000000000034,22.67789999999996,0.0155,0
2022-02-02,15.663833,27.71036,21.151545,17.831499999999977,36.13699999999998,22.535399999999996,0.003,0
2022-02-03,15.511034,27.711138,21.048365,17.39499999999998,33.27949999999997,22.343799999999998,0.003,0
2022-02-04,15.511034,27.711138,21.048365,17.44899999999999,32.88299999999997,22.34955,0.003,0
2022-02-05,14.874075,28.004122,21.108124,17.767,33.08850000000001,23.012549999999983,0.0,0
