time,temperature_2m_min,temperature_2m_max,temperature_2m_mean,precipitation_sum,windspeed_10m_max,windgusts_10m_max,weathercode,shortwave_radiation_sum
2022-02-26,16.735394,31.424505,23.781317,0.2175391,16.522753,32.5454,5.23864,24.399538
2022-02-27,16.764153,31.52481,24.009975,0.2175391,17.26656,34.816097,5.5465693,24.38032
2022-02-28,16.764153,31.52481,24.009975,0.2175391,17.26656,34.816097,5.5465693,24.38032
2022-03-01,16.620056,31.473127,23.976315,0.2175391,17.26656,35.016823,3.7571986,24.93389
2022-03-02,16.687252,31.473127,24.004194,0.2175391,19.330452,35.429688,3.7571986,24.738201
2022-03-03,16.687252,31.473127,24.004194,0.2175391,19.330452,35.429688,3.7571986,24.738201
2022-03-04,16.437191,31.18197,24.032257,0.2175391,18.179363,33.831497,9.535659,24.738201
2022-03-05,16.232397,31.279806,24.180605,0.29926914,16.59139,32.70881,10.8634815,24.872202
2022-03-06,17.129038,31.264114,24.285912,0.3341867,16.550154,32.834816,10.8634815,24.872202
2022-03-07,17.129038,31.264114,24.285912,0.3341867,16.550154,32.834816,10.8634815,24.872202
2022-03-08,17.419388,31.580528,24.424524,0.3303075,16.83428,32.875423,4.9189553,25.041664
2022-03-09,17.431973,31.676365,24.516804,0.3303075,18.872381,34.396782,6.186366,24.998508
2022-03-10,17.431973,31.676365,24.516804,0.3303075,18.872381,34.396782,6.186366,24.998508
2022-03-11,17.807472,31.812376,24.595743,0.27051562,18.04066,34.027157,9.097449,25.191206
2022-03-12,17.2733,31.901768,24.595743,0.27051562,17.981903,34.628796,-0.93430924,26.038689
2022-03-13,17.2733,31.901768,24.595743,0.27051562,17.981903,34.628796,-0.93430924,26.038689
2022-03-14,17.25723,31.928875,24.625238,0.2681225,18.489105,34.764843,-1.9148109,25.916342
2022-03-15,17.57487,31.928875,24.87987,0.24356873,18.23266,34.896698,-0.45813453,25.916342
2022-03-16,17.65744,32.095844,24.769863,0.32951894,17.724468,34.430485,0.20509255,25.916342
2022-03-17,17.65744,32.095844,24.769863,0.32951894,17.724468,34.430485,0.20509255,25.916342
2022-03-18,17.758993,32.334297,24.909561,0.36600283,17.724468,34.996296,0.37547958,25.700941
2022-03-19,17.71317,33.286655,25.531637,0.12396202,17.129177,33.861923,-0.2057835,25.7547
2022-03-20,17.71317,33.286655,25.531637,0.12396202,17.129177,33.861923,-0.2057835,25.7547
2022-03-21,19.024982,33.31557,25.8404,0.12396202,16.827267,33.54808,8.9494915,25.498745
2022-03-22,18.990435,33.5822,26.135649,0.12396202,16.95972,34.209267,8.714633,25.498745
2022-03-23,18.990435,33.5822,26.135649,0.12396202,16.95972,34.209267,8.714633,25.498745
2022-03-24,19.103655,33.5822,26.135649,0.12396202,18.710781,37.173687,8.714633,25.498745
2022-03-25,19.378414,34.036003,26.518644,0.12396202,19.582884,38.107273,1.4367565,24.731892
